"season.caught","location.country","location.coordinate","location.latitude","location.longitude","radius","landing.date","subsample1","subsample2","subsample3","n"
"autumn","australia","33°54.25 S 123°21.2 E",-33.904167,123.353333,5,"10-03-12","","","",27
"autumn","new zealand","29 16.178' S 177 57.052' W",-29.269633,-177.950867,5,"8-05-11","","","",1
"autumn","new zealand","29 17.213' S 178 0.408' W",-29.286883,-178.0068,5,"7-05-11","","Y","Y",1
"autumn","new zealand","30 32.097' S 178 34.183' W",-30.53495,-178.569717,5,"23-05-11","","","",1
"autumn","new zealand","34 10.782' S 172 4.325' E",-34.1797,172.072083,5,"13-04-13","","","",1
"autumn","new zealand","34 8.942' S 172 8.507' E",-34.149033,172.141783,5,"14-04-13","","","",1
"autumn","new zealand","34 9.32' S 172 8.98' E",-34.155333,172.149667,5,"17-04-13","","","",1
"autumn","new zealand","34 9.773' S 172 8.883' E",-34.162883,172.14805,5,"19-04-13","","","",1
"autumn","new zealand","41 5.550' S 174 47.500' E",-41.0925,174.791667,5," Apr 2009","","","",1
